url,kind,source_page,alt,local_path,status_code,content_type,bytes,error
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Event-2-300x243.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Event-2-300x243-38c74c72cc.jpg,200,image/jpeg,18372,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Event-3-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Event-3-300x200-c175f1472a.jpg,200,image/jpeg,15084,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Event-5-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Event-5-300x200-e9b71aefb4.jpg,200,image/jpeg,20497,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Event-6-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Event-6-300x200-cf2c086766.jpg,200,image/jpeg,8261,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Judges-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Judges-1-300x200-7792975e43.jpg,200,image/jpeg,19139,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Judges-3-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Judges-3-300x200-3de328d6d8.jpg,200,image/jpeg,14633,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2017-Judges-4-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8-2/,,assets/images/ARS-2017-Judges-4-300x200-4c62ce3727.jpg,200,image/jpeg,13982,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-1st-Bhumika-Ganguly-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-1st-Bhumika-Ganguly-1-300x200-eddfb88f69.jpg,200,image/jpeg,32011,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-1st-Bhumika-Ganguly-3-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-1st-Bhumika-Ganguly-3-1-300x200-1ca772108b.jpg,200,image/jpeg,33249,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-1st-Bhumika-Ganguly-4-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-1st-Bhumika-Ganguly-4-300x200-5483f1d3e3.jpg,200,image/jpeg,22046,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-2nd-Koyali-Sarkar-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-2nd-Koyali-Sarkar-1-300x200-0dce1e960e.jpg,200,image/jpeg,32079,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-2nd-Koyali-Sarkar-3-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-2nd-Koyali-Sarkar-3-1-300x200-31ce64ed42.jpg,200,image/jpeg,31808,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-2nd-Koyali-Sarkar-4-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-2nd-Koyali-Sarkar-4-300x200-7ff3fe66fc.jpg,200,image/jpeg,22778,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-3rd-Supriyo-Koley-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-3rd-Supriyo-Koley-1-300x200-eba6e49107.jpg,200,image/jpeg,31303,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-3rd-Supriyo-Koley-3-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-3rd-Supriyo-Koley-3-1-300x200-3a2a92bcc3.jpg,200,image/jpeg,31210,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-3rd-Supriyo-Koley-4-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-3rd-Supriyo-Koley-4-300x200-91f68cace1.jpg,200,image/jpeg,21618,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-Event-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-Event-1-300x200-7e3322754c.jpg,200,image/jpeg,34717,
https://pratimachandrafoundation.org/New/wp-content/uploads/2023/07/ARS-2018-Event-2-1-300x200.jpg,image,https://pratimachandrafoundation.org/event/%e0%a6%b0%e0%a6%ac%e0%a7%80%e0%a6%a8%e0%a7%8d%e0%a6%a6%e0%a7%8d%e0%a6%b0-%e0%a6%97%e0%a6%be%e0%a6%a8%e0%a7%87-%e0%a6%aa%e0%a7%8d%e0%a6%b0%e0%a6%a4%e0%a6%bf%e0%a6%ae%e0%a6%be-%e0%a6%9a%e0%a6%a8/,,assets/images/ARS-2018-Event-2-1-300x200-e93f004936.jpg,200,image/jpeg,34214,
